ID;UNIQUE_NAME;VALIDATION_STATUS;label;lingo;NAME;unique_name;ContextAlias||label||QUDT;same_unit_as;REMARK;quantity_kind;property;comments_Laura
;;VALIDATED;%;en;%;%;PERCENT;https://qudt.org/vocab/unit/PERCENT;;https://qudt.org/vocab/quantitykind/DimensionlessRatio;percentage;
;;DEPRECATED;% (g/100g);en;% (g/100g);% (g/100g);PERCENT;https://qudt.org/vocab/unit/PERCENT;;https://qudt.org/vocab/quantitykind/DimensionlessRatio;mass percentage;same as PERCENT
;;DEPRECATED;% dm;en;% dm;% dm;PERCENT;https://qudt.org/vocab/unit/PERCENT;;https://qudt.org/vocab/quantitykind/DimensionlessRatio;percentage dry matter;same as PERCENT
;;VALIDATED;µg/kg;en;µg/kg;µg/kg;MicroGM-PER-KiloGM;https://qudt.org/vocab/unit/MicroGM-PER-KiloGM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio;µg/kg
;;DEPRECATED;µg/kg dm;en;µg/kg dm;µg/kg dm;MicroGM-PER-KiloGM;https://qudt.org/vocab/unit/MicroGM-PER-KiloGM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio dry matter;µg/kg
;;DEPRECATED;µg/kg ww;en;µg/kg ww;µg/kg ww;MicroGM-PER-KiloGM;https://qudt.org/vocab/unit/MicroGM-PER-KiloGM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio wet weight;same as MicroGM-PER-KiloGM
;;VALIDATED;µg/L;en;µg/L;µg/L;MicroGM-PER-L;http://qudt.org/vocab/unit/MicroGM-PER-L;;https://qudt.org/vocab/quantitykind/MassConcentration;mass concentration;
;;VALIDATED;µg/mL;en;µg/mL;µg/mL;MicroGM-PER-MilliL;https://qudt.org/vocab/unit/MicroGM-PER-MilliL;;https://qudt.org/vocab/quantitykind/MassConcentration;mass concentration;
;;DEPRECATED;µLU/mL;en;µLU/mL;µLU/mL;;;;https://qudt.org/vocab/quantitykind/AmountOfSubstanceConcentration;substance concentration;Not sure what this is
;;VALIDATED;µmol/L;en;µmol/L;µmol/L;MicroMOL-PER-L;https://qudt.org/vocab/unit/MicroMOL-PER-L;;https://qudt.org/vocab/quantitykind/AmountOfSubstanceConcentration;substance concentration;
;;DEPRECATED;adults;en;adults;adults;;;;;;is this a unit?
;;VALIDATED;age;en;age;age;YR;https://qudt.org/vocab/unit/YR;;https://qudt.org/vocab/quantitykind/Time;time;is this not YR?
;;DEPRECATED;amount/µL;en;amount/µL;amount/µL;;;;https://qudt.org/vocab/quantitykind/NumberDensity;amount per volume;?
;;DEPRECATED;children;en;children;children;;;;;;is this a unit?
;;VALIDATED;cm;en;cm;cm;CentiM;https://qudt.org/vocab/unit/CentiM;;https://qudt.org/vocab/quantitykind/Length;length;
;;VALIDATED;days;en;days;days;DAY;https://qudt.org/vocab/unit/DAY;;https://qudt.org/vocab/quantitykind/Time ;time;
;;DEPRECATED;fL;en;fL;fL;;;;;volume;?
;;VALIDATED;g/dL;en;g/dL;g/dL;GM-PER-DeciL;https://qudt.org/vocab/unit/GM-PER-DeciL;;https://qudt.org/vocab/quantitykind/MassConcentration;mass concentration;
;;VALIDATED;g/L;en;g/L;g/L;GM-PER-L;http://qudt.org/vocab/unit/GM-PER-L;;https://qudt.org/vocab/quantitykind/MassConcentration;mass concentration;
;;VALIDATED;g/mol;en;g/mol;g/mol;GM-PER-MOL;https://qudt.org/vocab/unit/GM-PER-MOL;;https://qudt.org/vocab/quantitykind/MolarMass;molar mass;
;;VALIDATED;gram;en;gram;gram;GM;https://qudt.org/vocab/unit/GM;;https://qudt.org/vocab/quantitykind/Mass;mass;
;;VALIDATED;hour;en;hour;hour;HR;https://qudt.org/vocab/unit/HR;;https://qudt.org/vocab/quantitykind/Time;time;
;;DEPRECATED;hours;en;hours;hours;HR;https://qudt.org/vocab/unit/HR;;https://qudt.org/vocab/quantitykind/Time;time;
;;VALIDATED;hours per week;en;hours per week;hours per week;HR-PER-WK;;;https://qudt.org/vocab/quantitykind/Frequency;frequency;
;;DEPRECATED;index %;en;index %;index %;;;;;;same as PERCENT?
